Fuel,,Dilution,Inlet Temp,Position,Measured Temp C,Measured Temp K,
Ethane,,0,25,5,1547,1820,
Ethane,,0,25,10,1575,1848,
Ethane,,0,25,15,1564,1837,
Ethane,,0,25,20,1530,1803,
Ethane,,0,25,25,1447,1720,
Ethane,,0,25,30,1387,1660,
Ethane,,0,25,35,1281,1554,
Ethane,,0,25,40,1143,1416,
Ethane,,0,25,45,1022,1295,
Ethane,,0,25,50,915,1188,
Ethane,,0,25,55,831,1104,
Ethane,,0,225,5,1646,1919,
Ethane,,0,225,10,1658,1931,
Ethane,,0,225,15,1627,1900,
Ethane,,0,225,20,1566,1839,
Ethane,,0,225,25,1472,1745,
Ethane,,0,225,30,1362,1635,
Ethane,,0,225,35,1233,1506,
Ethane,,0,225,40,1094,1367,
Ethane,,0,225,45,996,1269,
Ethane,,0.25,25,5,1525,1798,
Ethane,,0.25,25,10,1561,1834,
Ethane,,0.25,25,15,1569,1842,
Ethane,,0.25,25,20,1540,1813,
Ethane,,0.25,25,25,1489,1762,
Ethane,,0.25,25,30,1420,1693,
Ethane,,0.25,25,35,1316,1589,
Ethane,,0.25,25,40,1179,1452,
Ethane,,0.25,25,45,1048,1321,
Ethane,,0.25,25,50,950,1223,
Ethane,,0.5,25,5,1517,1790,
Ethane,,0.5,25,10,1541,1814,
Ethane,,0.5,25,15,1517,1790,
Ethane,,0.5,25,20,1513,1786,
Ethane,,0.5,25,25,1472,1745,
Ethane,,0.5,25,30,1412,1685,
Ethane,,0.5,25,35,1353,1626,
Ethane,,0.5,25,40,1291,1564,
Ethane,,0.5,25,45,1181,1454,
Ethane,,0.5,25,50,1075,1348,
Ethane,,0.5,25,55,986,1259,
Ethane,,0.5,25,60,894,1167,
Ethane,,0.5,25,65,797,1070,
Ethane,,0.5,225,5,1621,1894,
Ethane,,0.5,225,10,1637,1910,
Ethane,,0.5,225,15,1625,1898,
Ethane,,0.5,225,20,1586,1859,
Ethane,,0.5,225,25,1516,1789,
Ethane,,0.5,225,30,1439,1712,
Ethane,,0.5,225,35,1335,1608,
Ethane,,0.5,225,40,1228,1501,
Ethane,,0.5,225,45,1096,1369,
Ethane,,0.5,225,50,973,1246,
Ethane,,0.5,225,55,925,1198,
Ethane,,0.6,25,5,1457,1730,
Ethane,,0.6,25,10,1511,1784,
Ethane,,0.6,25,15,1533,1806,
Ethane,,0.6,25,20,1531,1804,
Ethane,,0.6,25,25,1512,1785,
Ethane,,0.6,25,30,1469,1742,
Ethane,,0.6,25,35,1410,1683,
Ethane,,0.6,25,40,1330,1603,
Ethane,,0.6,25,45,1232,1505,
Ethane,,0.6,25,50,1162,1435,
Ethane,,0.67,25,5,1458,1731,
Ethane,,0.67,25,10,1503,1776,
Ethane,,0.67,25,15,1517,1790,
Ethane,,0.67,25,20,1515,1788,
Ethane,,0.67,25,25,1489,1762,
Ethane,,0.67,25,30,1449,1722,
Ethane,,0.67,25,35,1394,1667,
Ethane,,0.67,25,40,1325,1598,
Ethane,,0.67,25,45,1258,1531,
Ethane,,0.67,25,50,1195,1468,
Ethane,,0.67,25,55,1110,1383,
Ethane,,0.67,25,60,998,1271,
Ethane,,0.67,25,65,943,1216,
Ethane,,0.67,225,5,1564,1837,
Ethane,,0.67,225,10,1598,1871,
Ethane,,0.67,225,15,1600,1873,
Ethane,,0.67,225,20,1575,1848,
Ethane,,0.67,225,25,1530,1803,
Ethane,,0.67,225,30,1484,1757,
Ethane,,0.67,225,35,1409,1682,
Ethane,,0.67,225,40,1340,1613,
Ethane,,0.67,225,45,1243,1516,
Ethane,,0.67,225,50,1158,1431,
Ethane,,0.67,225,55,1050,1323,
Ethane,,0.67,225,60,984,1257,
Ethane,,0.67,225,65,946,1219,
Ethane,,0.8,25,5,1372,1645,
Ethane,,0.8,25,10,1442,1715,
Ethane,,0.8,25,15,1459,1732,
Ethane,,0.8,25,20,1472,1745,
Ethane,,0.8,25,25,1466,1739,
Ethane,,0.8,25,30,1453,1726,
Ethane,,0.8,25,35,1422,1695,
Ethane,,0.8,25,40,1384,1657,
Ethane,,0.8,25,45,1341,1614,
Ethane,,0.8,25,50,1318,1591,
Ethane,,0.8,25,55,1269,1542,
Ethane,,0.8,25,60,1222,1495,
Ethane,,0.8,25,65,1170,1443,
Ethane,,0.8,25,70,1093,1366,
Ethane,,0.8,225,5,1507,1780,
Ethane,,0.8,225,10,1548,1821,
Ethane,,0.8,225,15,1558,1831,
Ethane,,0.8,225,20,1550,1823,
Ethane,,0.8,225,25,1532,1805,
Ethane,,0.8,225,30,1511,1784,
Ethane,,0.8,225,35,1481,1754,
Ethane,,0.8,225,40,1437,1710,
Ethane,,0.8,225,45,1372,1645,
Ethane,,0.8,225,50,1309,1582,
Ethane,,0.8,225,55,1242,1515,
Ethane,,0.8,225,60,1163,1436,
Ethane,,0.8,225,65,1086,1359,
Ethane,,0.8,225,70,1028,1301,
Ethane,,0.85,25,5,1343,1616,
Ethane,,0.85,25,10,1380,1653,
Ethane,,0.85,25,15,1398,1671,
Ethane,,0.85,25,20,1411,1684,
Ethane,,0.85,25,25,1423,1696,
Ethane,,0.85,25,30,1405,1678,
Ethane,,0.85,25,35,1396,1669,
Ethane,,0.85,25,40,1383,1656,
Ethane,,0.85,25,45,1357,1630,
Ethane,,0.85,25,50,1293,1566,
Ethane,,0.85,25,55,1262,1535,
Ethane,,0.85,25,60,1228,1501,
Ethane,,0.85,25,65,1190,1463,
Ethane,,0.85,25,70,1164,1437,
Ethane,,0.85,25,75,1105,1378,
Ethane,,0.85,225,5,1439,1712,
Ethane,,0.85,225,10,1485,1758,
Ethane,,0.85,225,15,1495,1768,
Ethane,,0.85,225,20,1504,1777,
Ethane,,0.85,225,25,1493,1766,
Ethane,,0.85,225,30,1490,1763,
Ethane,,0.85,225,35,1469,1742,
Ethane,,0.85,225,40,1440,1713,
Ethane,,0.85,225,45,1407,1680,
Ethane,,0.85,225,50,1374,1647,
Ethane,,0.85,225,55,1330,1603,
Ethane,,0.85,225,60,1293,1566,
Ethane,,0.85,225,65,1247,1520,
Ethane,,0.85,225,70,1199,1472,
Ethane,,0.85,225,75,1141,1414,
Ethylene,,0,25,5,1565,1838,
Ethylene,,0,25,10,1579,1852,
Ethylene,,0,25,15,1549,1822,
Ethylene,,0,25,20,1477,1750,
Ethylene,,0,25,25,1360,1633,
Ethylene,,0,25,30,1195,1468,
Ethylene,,0,25,35,1024,1297,
Ethylene,,0,25,40,903,1176,
Ethylene,,0,225,5,1681,1954,
Ethylene,,0,225,10,1658,1931,
Ethylene,,0,225,7,1688,1961,
Ethylene,,0,225,15,1599,1872,
Ethylene,,0,225,20,1508,1781,
Ethylene,,0,225,25,1351,1624,
Ethylene,,0,225,30,1159,1432,
Ethylene,,0,225,35,1008,1281,
Ethylene,,0.25,25,5,1563,1836,
Ethylene,,0.25,25,10,1581,1854,
Ethylene,,0.25,25,15,1553,1826,
Ethylene,,0.25,25,20,1496,1769,
Ethylene,,0.25,25,25,1396,1669,
Ethylene,,0.25,25,30,1236,1509,
Ethylene,,0.25,25,35,1070,1343,
Ethylene,,0.25,25,40,935,1208,
Ethylene,,0.25,225,5,1667,1940,
Ethylene,,0.25,225,10,1657,1930,
Ethylene,,0.25,225,15,1611,1884,
Ethylene,,0.25,225,20,1519,1792,
Ethylene,,0.25,225,25,1399,1672,
Ethylene,,0.25,225,30,1218,1491,
Ethylene,,0.25,225,35,1048,1321,
Ethylene,,0.5,25,5,1501,1774,
Ethylene,,0.5,25,10,1536,1809,
Ethylene,,0.5,25,15,1545,1818,
Ethylene,,0.5,25,20,1476,1749,
Ethylene,,0.5,25,25,1428,1701,
Ethylene,,0.5,25,30,1328,1601,
Ethylene,,0.5,25,35,1172,1445,
Ethylene,,0.5,25,40,1015,1288,
Ethylene,,0.5,225,5,1647,1920,
Ethylene,,0.5,225,10,1647,1920,
Ethylene,,0.5,225,15,1599,1872,
Ethylene,,0.5,225,20,1536,1809,
Ethylene,,0.5,225,25,1431,1704,
Ethylene,,0.5,225,30,1301,1574,
Ethylene,,0.5,225,35,1122,1395,
Ethylene,,0.5,225,40,997,1270,
Ethylene,,0.5,225,45,891,1164,
Ethylene,,0.67,25,5,1434,1707,
Ethylene,,0.67,25,10,1521,1794,
Ethylene,,0.67,25,15,1506,1779,
Ethylene,,0.67,25,20,1511,1784,
Ethylene,,0.67,25,25,1464,1737,
Ethylene,,0.67,25,30,1377,1650,
Ethylene,,0.67,25,35,1291,1564,
Ethylene,,0.67,25,40,1176,1449,
Ethylene,,0.67,25,45,1089,1362,
Ethylene,,0.67,25,49,1059,1332,
Ethylene,,0.67,225,5,1618,1891,
Ethylene,,0.67,225,10,1626,1899,
Ethylene,,0.67,225,15,1602,1875,
Ethylene,,0.67,225,20,1570,1843,
Ethylene,,0.67,225,25,1481,1754,
Ethylene,,0.67,225,30,1381,1654,
Ethylene,,0.67,225,35,1237,1510,
Ethylene,,0.67,225,40,1096,1369,
Ethylene,,0.67,225,45,1006,1279,
Ethylene,,0.8,25,5,1352,1625,
Ethylene,,0.8,25,10,1393,1666,
Ethylene,,0.8,25,15,1463,1736,
Ethylene,,0.8,25,20,1463,1736,
Ethylene,,0.8,25,25,1467,1740,
Ethylene,,0.8,25,30,1456,1729,
Ethylene,,0.8,25,35,1418,1691,
Ethylene,,0.8,25,40,1379,1652,
Ethylene,,0.8,25,45,1344,1617,
Ethylene,,0.8,25,50,1293,1566,
Ethylene,,0.8,25,55,1232,1505,
Ethylene,,0.8,25,57,1200,1473,
Ethylene,,0.8,225,5,1555,1828,
Ethylene,,0.8,225,10,1572,1845,
Ethylene,,0.8,225,15,1573,1846,
Ethylene,,0.8,225,20,1568,1841,
Ethylene,,0.8,225,25,1529,1802,
Ethylene,,0.8,225,30,1489,1762,
Ethylene,,0.8,225,35,1434,1707,
Ethylene,,0.8,225,40,1391,1664,
Ethylene,,0.8,225,45,1316,1589,
Ethylene,,0.8,225,50,1226,1499,
Ethylene,,0.8,225,55,1144,1417,
Ethylene,,0.8,225,57,1109,1382,
Ethylene,,0.85,25,5,1324,1597,
Ethylene,,0.85,25,10,1394,1667,
Ethylene,,0.85,25,15,1419,1692,
Ethylene,,0.85,25,20,1438,1711,
Ethylene,,0.85,25,25,1442,1715,
Ethylene,,0.85,25,30,1427,1700,
Ethylene,,0.85,25,35,1424,1697,
Ethylene,,0.85,25,40,1406,1679,
Ethylene,,0.85,25,45,1392,1665,
Ethylene,,0.85,25,50,1360,1633,
Ethylene,,0.85,25,55,1324,1597,
Ethylene,,0.85,25,60,1268,1541,
Ethylene,,0.85,25,63,1219,1492,
Ethylene,,0.85,225,5,1513,1786,
Ethylene,,0.85,225,10,1541,1814,
Ethylene,,0.85,225,15,1550,1823,
Ethylene,,0.85,225,20,1545,1818,
Ethylene,,0.85,225,25,1530,1803,
Ethylene,,0.85,225,30,1517,1790,
Ethylene,,0.85,225,35,1492,1765,
Ethylene,,0.85,225,40,1450,1723,
Ethylene,,0.85,225,45,1411,1684,
Ethylene,,0.85,225,50,1358,1631,
Ethylene,,0.85,225,55,1292,1565,
Ethylene,,0.85,225,59,1228,1501,
Ethylene,,0.88,25,5,1297,1570,
Ethylene,,0.88,25,10,1330,1603,
Ethylene,,0.88,25,15,1360,1633,
Ethylene,,0.88,25,20,1372,1645,
Ethylene,,0.88,25,25,1395,1668,
Ethylene,,0.88,25,30,1371,1644,
Ethylene,,0.88,25,35,1360,1633,
Ethylene,,0.88,25,40,1350,1623,
Ethylene,,0.88,25,45,1341,1614,
Ethylene,,0.88,25,50,1324,1597,
Ethylene,,0.88,25,55,1326,1599,
Ethylene,,0.88,25,60,1274,1547,
Ethylene,,0.88,25,65,1245,1518,
Ethylene,,0.88,25,68,1239,1512,
Ethylene,,0.9,25,5,1227,1500,
Ethylene,,0.9,25,10,1280,1553,
Ethylene,,0.9,25,15,1309,1582,
Ethylene,,0.9,25,20,1316,1589,
Ethylene,,0.9,25,25,1322,1595,
Ethylene,,0.9,25,30,1324,1597,
Ethylene,,0.9,25,35,1314,1587,
Ethylene,,0.9,25,40,1307,1580,
Ethylene,,0.9,25,45,1277,1550,
Ethylene,,0.9,25,50,1257,1530,
Ethylene,,0.9,25,55,1236,1509,
Ethylene,,0.9,25,60,1213,1486,
Ethylene,,0.9,25,65,1190,1463,
Ethylene,,0.9,25,68,1182,1455,
Ethylene,,0.9,225,5,1405,1678,
Ethylene,,0.9,225,10,1448,1721,
Ethylene,,0.9,225,11,1450,1723,
Ethylene,,0.9,225,15,1460,1733,
Ethylene,,0.9,225,20,1465,1738,
Ethylene,,0.9,225,25,1465,1738,
Ethylene,,0.9,225,30,1455,1728,
Ethylene,,0.9,225,35,1452,1725,
Ethylene,,0.9,225,40,1442,1715,
Ethylene,,0.9,225,45,1422,1695,
Ethylene,,0.9,225,50,1397,1670,
Ethylene,,0.9,225,55,1375,1648,
Ethylene,,0.9,225,60,1350,1623,
Ethylene,,0.9,225,65,1312,1585,
Ethylene,,0.9,225,70,1287,1560,
Methane,,0.67,25,5,1462,1735,
Methane,,0.67,25,10,1497,1770,
Methane,,0.67,25,15,1503,1776,
Methane,,0.67,25,20,1507,1780,
Methane,,0.67,25,25,1475,1748,
Methane,,0.67,25,30,1465,1738,
Methane,,0.67,25,35,1425,1698,
Methane,,0.67,25,40,1384,1657,
Methane,,0.67,25,45,1328,1601,
Methane,,0.67,25,50,1278,1551,
Methane,,0.67,25,55,1228,1501,
Methane,,0.67,25,60,1180,1453,
Methane,,0.67,25,65,1128,1401,
Methane,,0.5,25,5,1521,1794,
Methane,,0.5,25,10,1553,1826,
Methane,,0.5,25,15,1557,1830,
Methane,,0.5,25,20,1536,1809,
Methane,,0.5,25,25,1507,1780,
Methane,,0.5,25,30,1465,1738,
Methane,,0.5,25,35,1406,1679,
Methane,,0.5,25,40,1351,1624,
Methane,,0.5,25,45,1289,1562,
Methane,,0.5,25,50,1227,1500,
Methane,,0.5,25,55,1168,1441,
Methane,,0.5,25,60,1115,1388,
Methane,,0,25,5,1591,1864,
Methane,,0,25,10,1598,1871,
Methane,,0,25,15,1588,1861,
Methane,,0,25,20,1529,1802,
Methane,,0,25,25,1458,1731,
Methane,,0,25,30,1368,1641,
Methane,,0,25,35,1274,1547,
Methane,,0,25,40,1179,1452,
Methane,,0,25,45,1075,1348,
Methane,,0,25,50,1002,1275,
Methane,,0,25,55,909,1182,
